GeoID	E-Value (from SR's file)	Uniprot ID	Protein Name	Species 	GO Process	PFAM			B/E Case Inlet	B/E Fidalgo Bay	B/E Port Gamble	B/E Skokomish	E/B Case Inlet	E/B Fidalgo Bay	E/B Port Gamble	E/B Skokomish	# Bare Sites	# Eelgrass Sites
comp141791_c0_seq2	2.00E-33	O35217	"Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)"	Rattus norvegicus (Rat)	phosphatidylinositol-mediated signaling [GO:0048015]	PF00328;	comp141791_c0_seq2	m.39743	3.28	53.7		3.25					3	0
comp138933_c0_seq11	1.00E-41	O43251	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity)	Homo sapiens (Human)	"dendrite morphogenesis [GO:0048813]; fibroblast growth factor receptor signaling pathway [GO:0008543]; intracellular estrogen receptor signaling pathway [GO:0030520]; mRNA processing [GO:0006397]; negative regulation of transcription, DNA-templated [GO:0045892]; nervous system development [GO:0007399]; neuromuscular process controlling balance [GO:0050885]; radial glia guided migration of Purkinje cell [GO:0021942]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of cell proliferation [GO:0042127]; regulation of definitive erythrocyte differentiation [GO:0010724]; RNA metabolic process [GO:0016070]; RNA splicing [GO:0008380]"	PF12414;PF00076;	comp138933_c0_seq11	m.31279	2.97	2.26	4.52						3	0
comp142957_c0_seq1	1.00E-164	O43615	Mitochondrial import inner membrane translocase subunit TIM44	Homo sapiens (Human)	protein import into mitochondrial matrix [GO:0030150]; protein targeting to mitochondrion [GO:0006626]	PF04280;	comp142957_c0_seq1	m.44053	2.59	2.37	2.62						3	0
comp142957_c0_seq2	2.00E-42	O60084	Mitochondrial import inner membrane translocase subunit tim44	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	protein import into mitochondrial matrix [GO:0030150]	PF04280;	comp142957_c0_seq2	m.44054	2.59	2.37	2.62						3	0
comp138656_c0_seq1	0	O75844	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	Homo sapiens (Human)	CAAX-box protein processing [GO:0071586]; nuclear envelope organization [GO:0006998]; prenylated protein catabolic process [GO:0030327]; proteolysis [GO:0006508]	PF01435;PF16491;	comp138656_c0_seq1	m.30592		3.1	2.3	2.49					3	0
comp122304_c0_seq2	1.00E-32	O75897	Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.-) (Sulfotransferase 1C2) (SULT1C#2)	Homo sapiens (Human)	3'-phosphoadenosine 5'-phosphosulfate metabolic process [GO:0050427]; sulfation [GO:0051923]	PF00685;	comp122304_c0_seq2	m.12348	23.08	4.06		9.34					3	0
comp144220_c0_seq2	6.00E-88	O77210	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	Aplysia californica (California sea hare)	regulation of translation [GO:0006417]	PF01652;	comp144220_c0_seq2	m.50354	4.73		3.2	9.53		15.28			3	1
comp125883_c0_seq2	0	O80452	AMP deaminase (AtAMPD) (EC 3.5.4.6) (Protein EMBRYONIC FACTOR 1)	Arabidopsis thaliana (Mouse-ear cress)	embryo development ending in seed dormancy [GO:0009793]; IMP salvage [GO:0032264]; response to abscisic acid [GO:0009737]	PF00962;	comp125883_c0_seq2	m.14393		2.33	3.27	3.17					3	0
comp140338_c1_seq1	4.00E-174	O95363	"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)"	Homo sapiens (Human)	phenylalanyl-tRNA aminoacylation [GO:0006432]; tRNA aminoacylation for protein translation [GO:0006418]; tRNA processing [GO:0008033]	PF03147;PF01409;	comp140338_c1_seq1	m.34672		2.23	6.65	5.42					3	0
comp134986_c1_seq9	2.00E-08	P10686	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)"	Rattus norvegicus (Rat)	activation of phospholipase C activity [GO:0007202]; calcium ion transport [GO:0006816]; cellular response to epidermal growth factor stimulus [GO:0071364]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; inositol trisphosphate biosynthetic process [GO:0032959]; intracellular signal transduction [GO:0035556]; phospholipid catabolic process [GO:0009395]; positive regulation of epithelial cell migration [GO:0010634]; protein secretion [GO:0009306]; regulation of store-operated calcium channel activity [GO:1901339]; response to gravity [GO:0009629]; response to hydrogen peroxide [GO:0042542]; response to morphine [GO:0043278]; response to organonitrogen compound [GO:0010243]; signal transduction [GO:0007165]	PF00168;PF00388;PF00387;PF00017;PF00018;	comp134986_c1_seq9	m.23605	3.55		2.24	6.06		925.95			3	1
comp125883_c0_seq6	0	P15274	AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	guanine salvage [GO:0006178]; IMP salvage [GO:0032264]; purine nucleotide metabolic process [GO:0006163]	PF00962;	comp125883_c0_seq6	m.14401		2.33	3.27	3.17					3	0
comp136550_c0_seq2	6.00E-26	P21158	C-factor (C signal)	Myxococcus xanthus	sporulation resulting in formation of a cellular spore [GO:0030435]	PF00106;	comp136550_c0_seq2	m.26523	2.03	2.03	2.93						3	0
comp92163_c0_seq2	7.00E-31	P23678	Kinesin-like protein unc-104 (Uncoordinated protein 104)	Caenorhabditis elegans	"anterograde axonal transport [GO:0008089]; anterograde synaptic vesicle transport [GO:0048490]; cell cycle [GO:0007049]; cell division [GO:0051301]; defecation [GO:0030421]; feeding behavior [GO:0007631]; microtubule-based movement [GO:0007018]; molting cycle, collagen and cuticulin-based cuticle [GO:0018996]; negative regulation of dense core granule transport [GO:1904810]; nematode larval development [GO:0002119]; neuron-neuron synaptic transmission [GO:0007270]; neuron remodeling [GO:0016322]; positive regulation of growth rate [GO:0040010]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of necrotic cell death [GO:0010940]; positive regulation of pharyngeal pumping [GO:1903746]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; receptor clustering [GO:0043113]; regulated exocytosis [GO:0045055]; regulation of axon extension [GO:0030516]; regulation of protein localization to synapse [GO:1902473]; regulation of striated muscle contraction [GO:0006942]; reproduction [GO:0000003]; synaptic transmission, cholinergic [GO:0007271]; vesicle-mediated transport [GO:0016192]"	PF12473;PF12423;PF00225;PF16183;PF00169;	comp92163_c0_seq2	m.4858		2.41	2.65		6.72			6.28	3	2
comp153958_c0_seq1	1.00E-25	P24792	L-ascorbate oxidase (ASO) (Ascorbase) (EC 1.10.3.3)	Cucurbita maxima (Pumpkin) (Winter squash)		PF00394;PF07731;PF07732;	comp153958_c0_seq1	m.54587	41.82	2.09	18.31					25.39	3	1
comp119821_c0_seq2	1.00E-07	P25553	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	Escherichia coli (strain K12)	L-fucose catabolic process [GO:0042355]; rhamnose catabolic process [GO:0019301]	PF00171;	comp119821_c0_seq2	m.11197	5.12	13.86	2.27						3	0
comp137590_c0_seq4	9.00E-07	P29294	"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]"	Oryctolagus cuniculus (Rabbit)		PF00041;PF07679;PF00069;	comp137590_c0_seq4	m.28442	6.07	3.99		21.3			3.21		3	1
comp85244_c0_seq1	3.00E-18	P34308	Calpain clp-1 (EC 3.4.22.-)	Caenorhabditis elegans	positive regulation of necrotic cell death [GO:0010940]; proteolysis [GO:0006508]	PF01067;PF00648;	comp85244_c0_seq1	m.4075	2.25	7.26		3.13			3.07		3	1
comp143593_c1_seq1	2.00E-60	P35903	Achacin	Achatina fulica (Giant African snail)	defense response to bacterium [GO:0042742]	PF01593;	comp143593_c1_seq1	m.46723	22.01	62.23		4.21			9.99		3	1
comp140718_c0_seq1	8.00E-11	P39598	Uncharacterized protein YwbO	Bacillus subtilis (strain 168)		PF01323;	comp140718_c0_seq1	m.35715	9.88	3.64	26.47					3.21	3	1
comp141128_c0_seq3	3.00E-90	P48637	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	Homo sapiens (Human)	aging [GO:0007568]; cellular amino acid metabolic process [GO:0006520]; glutathione biosynthetic process [GO:0006750]; nervous system development [GO:0007399]; response to amino acid [GO:0043200]; response to cadmium ion [GO:0046686]; response to nutrient levels [GO:0031667]; response to oxidative stress [GO:0006979]; response to tumor necrosis factor [GO:0034612]; response to xenobiotic stimulus [GO:0009410]	PF03917;PF03199;	comp141128_c0_seq3	m.37212		2.92	6.2	2.08	2.22				3	1
comp129580_c0_seq1	2.00E-73	P50429	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Mus musculus (Mouse)	colon epithelial cell migration [GO:0061580]; metabolic process [GO:0008152]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]	PF00884;	comp129580_c0_seq1	m.17375	11.94	7.5	4.33						3	0
comp119821_c0_seq1	3.00E-52	P51648	Fatty aldehyde dehydrogenase (EC 1.2.1.3) (Aldehyde dehydrogenase 10) (Aldehyde dehydrogenase family 3 member A2) (Microsomal aldehyde dehydrogenase)	Homo sapiens (Human)	cellular aldehyde metabolic process [GO:0006081]; central nervous system development [GO:0007417]; epidermis development [GO:0008544]; fatty acid alpha-oxidation [GO:0001561]; formaldehyde metabolic process [GO:0046292]; oxidation-reduction process [GO:0055114]; peripheral nervous system development [GO:0007422]; phytol metabolic process [GO:0033306]; response to reactive oxygen species [GO:0000302]; sesquiterpenoid metabolic process [GO:0006714]; sphingolipid biosynthetic process [GO:0030148]	PF00171;	comp119821_c0_seq1	m.11195	5.12	13.86	2.27						3	0
comp122282_c0_seq1	0	P56941	Niemann-Pick C1 protein	Sus scrofa (Pig)	bile acid metabolic process [GO:0008206]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; lysosomal transport [GO:0007041]; protein glycosylation [GO:0006486]	PF16414;PF02460;PF12349;	comp122282_c0_seq1	m.12338	2.59		3.47	2.19					3	0
comp138933_c0_seq4	1.00E-08	P62997	"Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (RA301) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)"	Rattus norvegicus (Rat)	"mRNA splicing, via spliceosome [GO:0000398]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; response to reactive oxygen species [GO:0000302]"	PF00076;	comp138933_c0_seq4	m.31268	2.97	2.26	4.52						3	0
comp123584_c0_seq3	4.00E-13	P78560	Death domain-containing protein CRADD (Caspase and RIP adapter with death domain) (RIP-associated protein with a death domain)	Homo sapiens (Human)	"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cellular response to mechanical stimulus [GO:0071260]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; positive regulation of apoptotic signaling pathway [GO:2001235]; regulation of apoptotic process [GO:0042981]"	PF00619;PF00531;	comp123584_c0_seq3	m.13012	8.12	370.69	20.07						3	0
comp141234_c1_seq3	3.00E-46	P82649	"28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt)"	Bos taurus (Bovine)	mitochondrial translation [GO:0032543]; mitochondrial translational elongation [GO:0070125]; mitochondrial translational initiation [GO:0070124]	PF10245;	comp141234_c1_seq3	m.37627	2.22	4.1		2.11					3	0
comp124217_c1_seq1	2.00E-32	P86786	Gigasin-3a (Fragment)	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)			comp124217_c1_seq1	m.13366	4.01	11.3	28.26	7.93					4	0
comp141655_c1_seq3	2.00E-15	P86808	Limonin dehydrogenase (EC 1.2.1.-) (Fragments)	Pseudomonas putida (Arthrobacter siderocapsulatus)		PF00171;	comp141655_c1_seq3	m.39109	4.73		3.2	9.53		15.28			3	1
comp139100_c0_seq1	0	P97363	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	Mus musculus (Mouse)	ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]	PF00155;	comp139100_c0_seq1	m.31636	4.92		8.12	2.13					3	0
comp125883_c0_seq1	0	Q01433	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)	Homo sapiens (Human)	AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cyclic purine nucleotide metabolic process [GO:0052652]; energy homeostasis [GO:0097009]; GTP metabolic process [GO:0046039]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine-containing compound salvage [GO:0043101]	PF00962;	comp125883_c0_seq1	m.14391		2.33	3.27	3.17					3	0
comp125873_c0_seq1	3.00E-06	Q04861	Nuclear factor NF-kappa-B p105 subunit (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	Gallus gallus (Chicken)	cellular response to dsRNA [GO:0071359]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; cellular response to nicotine [GO:0071316]; cellular response to peptide hormone stimulus [GO:0071375]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of calcidiol 1-monooxygenase activity [GO:0010956]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-12 biosynthetic process [GO:0045083]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of hyaluronan biosynthetic process [GO:1900127]; positive regulation of miRNA metabolic process [GO:2000630]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; response to cytokine [GO:0034097]; response to muscle stretch [GO:0035994]	PF00023;PF12796;PF00531;PF16179;PF00554;	comp125873_c0_seq1	m.14385		383.25	24.49	2.6					3	0
comp144124_c0_seq5	7.00E-28	Q09750	Paired amphipathic helix protein pst1 (SIN3 homolog 1)	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	"cell cycle [GO:0007049]; cell division [GO:0051301]; chromatin remodeling [GO:0006338]; chromatin silencing at centromere [GO:0030702]; histone deacetylation [GO:0016575]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]"	PF02671;PF08295;PF16879;	comp144124_c0_seq5	m.49838		5.96	2.13	2.45					3	0
comp127076_c0_seq1	4.00E-141	Q16932	Syntaxin	Aplysia californica (California sea hare)	intracellular protein transport [GO:0006886]; membrane fusion [GO:0061025]; neurotransmitter transport [GO:0006836]; regulation of exocytosis [GO:0017157]; vesicle-mediated transport [GO:0016192]	PF05739;PF00804;	comp127076_c0_seq1	m.15201		26.53	4.67	4.97					3	0
comp143593_c1_seq2	2.00E-64	Q17043	Aplysianin-A	Aplysia kurodai (Kuroda's sea hare)	defense response to bacterium [GO:0042742]	PF01593;	comp143593_c1_seq2	m.46726	22.01	62.23		4.21			9.99		3	1
comp143959_c1_seq11	1.00E-15	Q28C55	Disks large homolog 1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	chemical synaptic transmission [GO:0007268]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; nervous system development [GO:0007399]; receptor clustering [GO:0043113]; receptor localization to synapse [GO:0097120]	PF00625;PF09058;PF10608;PF00595;PF10600;PF00018;	comp143959_c1_seq11	m.48816	17.07	42.55		3.58					3	0
comp136196_c0_seq1	2.00E-22	Q3SZP0	Interferon regulatory factor 1 (IRF-1)	Bos taurus (Bovine)	"apoptotic process [GO:0006915]; cell cycle arrest [GO:0007050]; defense response to virus [GO:0051607]; interferon-gamma-mediated signaling pathway [GO:0060333]; negative regulation of cell proliferation [GO:0008285]; negative regulation of regulatory T cell differentiation [GO:0045590]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of type I interferon production [GO:0032481]; regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000564]; regulation of MyD88-dependent toll-like receptor signaling pathway [GO:0034124]; transcription, DNA-templated [GO:0006351]"	PF00605;	comp136196_c0_seq1	m.25896	2.25		4.08	9.09		43.88			3	1
comp101435_c0_seq1	2.00E-45	Q502J0	Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase 11) (1-AGP acyltransferase 11) (1-AGPAT 11) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 1)	Danio rerio (Zebrafish) (Brachydanio rerio)	phospholipid biosynthetic process [GO:0008654]	PF01553;PF13202;PF13499;	comp101435_c0_seq1	m.6198	2.56	2.16	3.77						3	0
comp141791_c0_seq1	1.00E-10	Q54ND5	"Multiple inositol polyphosphate phosphatase 1 (Ddmipp1) (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)"	Dictyostelium discoideum (Slime mold)	glucose catabolic process [GO:0006007]	PF00328;	comp141791_c0_seq1	m.39742	3.28	53.7		3.25					3	0
comp137436_c4_seq2	9.00E-06	Q57951	Universal stress protein MJ0531 (USP MJ0531)	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	response to stress [GO:0006950]	PF00582;	comp137436_c4_seq2	m.28138	4.42	3.32	3.13					3.76	3	1
comp138933_c0_seq8	2.00E-42	Q5NVN8	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	mRNA processing [GO:0006397]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]	PF12414;PF00076;	comp138933_c0_seq8	m.31272	2.97	2.26	4.52						3	0
comp75783_c1_seq1	3.00E-63	Q5R7L7	Ras-related protein Rab-5C	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	plasma membrane to endosome transport [GO:0048227]; protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]	PF00071;	comp75783_c1_seq1	m.3394	3.8		5.77	3.07		15.12			3	1
comp96819_c0_seq1	4.00E-45	Q5R941	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (FK506-binding protein 14) (FKBP-14) (Rotamase)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	protein folding [GO:0006457]	PF13499;PF00254;	comp96819_c0_seq1	m.5499	31.71	23.96		2.65					3	0
comp136888_c1_seq1	5.00E-142	Q5RAU0	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]	PF01756;PF00441;PF02770;	comp136888_c1_seq1	m.27058	27.78	4.7		21.91					3	0
comp112972_c0_seq1	1.00E-33	Q5SUV5	Myosin light chain kinase family member 4 (EC 2.7.11.1) (Sugen kinase 85) (SgK085)	Mus musculus (Mouse)		PF00069;	comp112972_c0_seq1	m.8727	2.85	6.81	79.85	2.47					4	0
comp136913_c0_seq2	6.00E-32	Q5T0F9	Coiled-coil and C2 domain-containing protein 1B (Five prime repressor element under dual repression-binding protein 2) (FRE under dual repression-binding protein 2) (Freud-2)	Homo sapiens (Human)	"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]"	PF00168;	comp136913_c0_seq2	m.27113	2.34		4.39	5.44					3	0
comp144506_c0_seq1	4.00E-135	Q5U249	Protein ELYS (Protein MEL-28) (xELYS)	Xenopus laevis (African clawed frog)	mRNA transport [GO:0051028]; protein transport [GO:0015031]	PF13934;PF16687;	comp144506_c0_seq1	m.52256		2.18	2.95	5.99	23.36				3	1
comp61748_c0_seq1	4.00E-61	Q5VYK3	Proteasome-associated protein ECM29 homolog (Ecm29)	Homo sapiens (Human)	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; proteasome assembly [GO:0043248]	PF13001;PF12755;	comp61748_c0_seq1	m.2460	27.01	4.19		8.01					3	0
comp124057_c0_seq2	2.00E-07	Q5VZQ5	Testis-expressed sequence 36 protein	Homo sapiens (Human)		PF15115;	comp124057_c0_seq2	m.13293	4.86	136.84	56.61					5.37	3	1
comp143674_c0_seq3	4.00E-117	Q5ZKM1	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	Gallus gallus (Chicken)	"enzyme-directed rRNA 2'-O-methylation [GO:0000453]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; rRNA methylation [GO:0031167]"	PF11861;PF01728;PF07780;	comp143674_c0_seq3	m.46992		4.2	6.14	2.74	12.22				3	1
