Protein ID, FB Eelgrass , PG Eelgrass , CI Eelgrass , SK Eelgrass , FB Bare , PG Bare , CI Bare , SK Bare , WB Bare ,Ave Eelgrass,Ave Bare,,,
cds.comp101400_c1_seq1|m.6194, 0.0629 , 0.0470 , 0.0375 , 0.0527 , 0.0246 , 0.0450 , 0.0501 , 0.0503 , 0.0566 , 0.0500 , 0.0453 ,,,
cds.comp101435_c0_seq1|m.6198, 0.0029 , 0.0020 , 0.0019 , 0.0023 , 0.0063 , 0.0075 , 0.0048 , 0.0023 , 0.0019 , 0.0023 , 0.0046 ,,,
cds.comp101490_c0_seq1|m.6201, 0.0487 , 0.0318 , 0.0340 , 0.0345 , 0.0473 , 0.0268 , 0.0413 , 0.0251 , 0.0354 , 0.0373 , 0.0352 ,,,
cds.comp101681_c0_seq2|m.6237, 0.0012 , 0.0009 , 0.0002 , 0.0001 , 0.0008 , 0.0007 , 0.0006 , 0.0000 , 0.0000 , 0.0006 , 0.0004 ,,,
cds.comp101771_c0_seq1|m.6251, 0.0030 , 0.0002 , 0.0008 , 0.0020 , 0.0034 , 0.0001 , 0.0018 , 0.0001 , 0.0001 , 0.0015 , 0.0011 ,,,
cds.comp101949_c0_seq2|m.6278, 0.0001 , 0.0041 , 0.0050 , 0.0107 , 0.0032 , 0.0067 , 0.0090 , 0.0167 , 0.0103 , 0.0050 , 0.0092 ,,,
cds.comp101984_c0_seq1|m.6292, 0.0017 , 0.0019 , 0.0034 , 0.0021 , 0.0053 , 0.0017 , 0.0038 , 0.0028 , 0.0037 , 0.0023 , 0.0035 ,,,
cds.comp101984_c1_seq1|m.6293, 0.0016 , 0.0021 , 0.0019 , 0.0020 , 0.0024 , 0.0020 , 0.0011 , 0.0029 , 0.0012 , 0.0019 , 0.0019 ,,,
cds.comp101998_c0_seq1|m.6297, 0.0025 , 0.0051 , 0.0010 , 0.0033 , 0.0043 , 0.0026 , 0.0027 , 0.0012 , 0.0014 , 0.0030 , 0.0024 ,,,
cds.comp102255_c0_seq1|m.6328, 0.0007 , 0.0014 , 0.0005 , 0.0009 , 0.0006 , 0.0003 , 0.0012 , 0.0013 , 0.0007 , 0.0009 , 0.0008 ,,,
cds.comp102256_c1_seq1|m.6329, 0.0056 , 0.0128 , 0.0070 , 0.0077 , 0.0071 , 0.0036 , 0.0029 , 0.0041 , 0.0029 , 0.0083 , 0.0041 ,,,
cds.comp102288_c0_seq1|m.6333, 0.2800 , 0.2068 , 0.0861 , 0.1946 , 0.0200 , 0.2844 , 0.1522 , 0.1832 , 0.3379 , 0.1919 , 0.1956 ,,,
cds.comp102293_c0_seq1|m.6337, 0.0243 , 0.0069 , 0.0383 , 0.0010 , 0.0058 , 0.0258 , 0.0253 , 0.0322 , 0.0030 , 0.0176 , 0.0184 ,,,
cds.comp102323_c2_seq1|m.6346, 0.0239 , 0.0096 , 0.0229 , 0.0074 , 0.0603 , 0.0261 , 0.0147 , 0.0041 , 0.0162 , 0.0159 , 0.0242 ,,,
cds.comp102323_c2_seq2|m.6348, 0.0239 , 0.0096 , 0.0229 , 0.0074 , 0.0603 , 0.0261 , 0.0147 , 0.0041 , 0.0162 , 0.0159 , 0.0242 ,,,
cds.comp102414_c0_seq1|m.6365, 0.0002 , 0.0015 , 0.0055 , 0.0027 , 0.0036 , 0.0014 , 0.0039 , 0.0023 , 0.0022 , 0.0025 , 0.0027 ,,,
cds.comp102694_c0_seq1|m.6409, 0.0418 , 0.0530 , 0.0494 , 0.0538 , 0.0193 , 0.0593 , 0.0794 , 0.0676 , 0.0753 , 0.0495 , 0.0602 ,,,
cds.comp102694_c1_seq1|m.6410, 0.0167 , 0.0217 , 0.0340 , 0.0216 , 0.0057 , 0.0335 , 0.0450 , 0.0486 , 0.0328 , 0.0235 , 0.0331 ,,,
cds.comp102745_c0_seq1|m.6413, 0.0256 , 0.0380 , 0.0225 , 0.0213 , 0.0021 , 0.0308 , 0.0299 , 0.0313 , 0.0241 , 0.0268 , 0.0236 ,,,
cds.comp102793_c0_seq1|m.6420, 0.0081 , 0.0119 , 0.0040 , 0.0068 , 0.0085 , 0.0209 , 0.0132 , 0.0075 , 0.0070 , 0.0077 , 0.0114 ,,,
cds.comp102812_c0_seq2|m.6427, 0.0035 , 0.0023 , 0.0017 , 0.0042 , 0.0022 , 0.0028 , 0.0061 , 0.0042 , 0.0043 , 0.0029 , 0.0039 ,,,
cds.comp102812_c0_seq3|m.6428, 0.0012 , 0.0000 , 0.0001 , 0.0012 , 0.0001 , 0.0009 , 0.0029 , 0.0018 , 0.0013 , 0.0006 , 0.0014 ,,,
cds.comp102853_c1_seq1|m.6440, 0.0072 , 0.0132 , 0.0027 , 0.0070 , 0.0094 , 0.0087 , 0.0058 , 0.0077 , 0.0115 , 0.0076 , 0.0086 ,,,
cds.comp103006_c0_seq1|m.6459, 0.0123 , 0.0128 , 0.0108 , 0.0033 , 0.0078 , 0.0135 , 0.0136 , 0.0072 , 0.0076 , 0.0098 , 0.0099 ,,,
cds.comp103010_c0_seq1|m.6462, 0.0013 , 0.0011 , 0.0017 , 0.0003 , 0.0001 , 0.0013 , 0.0013 , 0.0008 , 0.0011 , 0.0011 , 0.0009 ,,,
cds.comp103222_c0_seq1|m.6477, 0.0009 , 0.0006 , 0.0027 , 0.0006 , 0.0001 , 0.0004 , 0.0023 , 0.0027 , 0.0021 , 0.0012 , 0.0015 ,,,
cds.comp103293_c0_seq1|m.6495, 0.0077 , 0.0061 , 0.0071 , 0.0039 , 0.0055 , 0.0118 , 0.0052 , 0.0056 , 0.0041 , 0.0062 , 0.0064 ,,,
cds.comp103293_c0_seq3|m.6497, 0.0044 , 0.0020 , 0.0042 , 0.0006 , 0.0015 , 0.0078 , 0.0018 , 0.0023 , 0.0019 , 0.0028 , 0.0031 ,,,
cds.comp103336_c1_seq2|m.6503, 0.0670 , 0.0225 , 0.0298 , 0.0454 , 0.0295 , 0.0468 , 0.0489 , 0.0216 , 0.0732 , 0.0412 , 0.0440 ,,,
cds.comp103336_c1_seq3|m.6504, 0.0306 , 0.0224 , 0.0259 , 0.0221 , 0.0083 , 0.0272 , 0.0236 , 0.0203 , 0.0273 , 0.0252 , 0.0213 ,,,
cds.comp103336_c1_seq4|m.6505, 0.0449 , 0.0029 , 0.0112 , 0.0268 , 0.0214 , 0.0250 , 0.0304 , 0.0034 , 0.0510 , 0.0214 , 0.0262 ,,,
cds.comp103384_c1_seq1|m.6513, 0.0013 , 0.0010 , 0.0005 , 0.0021 , 0.0000 , 0.0006 , 0.0011 , 0.0004 , 0.0013 , 0.0012 , 0.0007 ,,,
cds.comp103384_c1_seq2|m.6515, 0.0064 , 0.0037 , 0.0023 , 0.0058 , 0.0033 , 0.0037 , 0.0047 , 0.0029 , 0.0058 , 0.0045 , 0.0041 ,,,
cds.comp103523_c0_seq1|m.6530, 0.1418 , 0.1559 , 0.0933 , 0.1334 , 0.0859 , 0.1175 , 0.1194 , 0.1082 , 0.1923 , 0.1311 , 0.1247 ,,,
cds.comp103523_c0_seq2|m.6531, 0.1558 , 0.1708 , 0.1194 , 0.1713 , 0.0868 , 0.1340 , 0.1392 , 0.1353 , 0.2262 , 0.1543 , 0.1443 ,,,
cds.comp103578_c0_seq1|m.6541, 0.0830 , 0.0706 , 0.0398 , 0.0631 , 0.0893 , 0.0824 , 0.0573 , 0.0635 , 0.1083 , 0.0641 , 0.0802 ,,,
cds.comp103578_c0_seq2|m.6542, 0.0933 , 0.0792 , 0.0441 , 0.0747 , 0.1035 , 0.0921 , 0.0631 , 0.0699 , 0.1171 , 0.0728 , 0.0891 ,,,
cds.comp103578_c0_seq3|m.6543, 0.0933 , 0.0792 , 0.0441 , 0.0747 , 0.1035 , 0.0921 , 0.0631 , 0.0699 , 0.1171 , 0.0728 , 0.0891 ,,,
cds.comp103578_c0_seq4|m.6544, 0.0155 , 0.0158 , 0.0060 , 0.0059 , 0.0110 , 0.0096 , 0.0107 , 0.0153 , 0.0230 , 0.0108 , 0.0139 ,,,
cds.comp103610_c0_seq1|m.6551, 0.0104 , 0.0467 , 0.0169 , 0.0312 , 0.0137 , 0.0219 , 0.0407 , 0.0658 , 0.0433 , 0.0263 , 0.0371 ,,,
cds.comp103802_c0_seq1|m.6571, 0.0003 , 0.0013 , 0.0000 , 0.0006 , 0.0005 , 0.0018 , 0.0003 , 0.0006 , 0.0013 , 0.0005 , 0.0009 ,,,
cds.comp103927_c0_seq1|m.6589, 0.0412 , 0.0401 , 0.0244 , 0.0319 , 0.0584 , 0.0478 , 0.0172 , 0.0223 , 0.0133 , 0.0344 , 0.0318 ,,,
cds.comp104060_c0_seq1|m.6609, 0.0143 , 0.0173 , 0.0069 , 0.0151 , 0.0233 , 0.0114 , 0.0023 , 0.0079 , 0.0068 , 0.0134 , 0.0103 ,,,
cds.comp104174_c0_seq1|m.6623, 0.0577 , 0.0575 , 0.0629 , 0.0578 , 0.0538 , 0.0665 , 0.0784 , 0.0672 , 0.0561 , 0.0590 , 0.0644 ,,,
cds.comp104494_c0_seq1|m.6660, 0.0067 , 0.0069 , 0.0019 , 0.0089 , 0.0081 , 0.0047 , 0.0013 , 0.0067 , 0.0045 , 0.0061 , 0.0051 ,,,
cds.comp104555_c1_seq1|m.6663, 0.0034 , 0.0003 , 0.0012 , 0.0022 , 0.0001 , 0.0011 , 0.0005 , 0.0003 , 0.0001 , 0.0017 , 0.0004 ,,,
cds.comp104589_c1_seq1|m.6671, 0.0014 , 0.0020 , 0.0009 , 0.0014 , 0.0040 , 0.0023 , 0.0014 , 0.0023 , 0.0000 , 0.0014 , 0.0020 ,,,
cds.comp104632_c0_seq1|m.6684, 0.0128 , 0.0105 , 0.0131 , 0.0060 , 0.0030 , 0.0170 , 0.0073 , 0.0123 , 0.0096 , 0.0106 , 0.0099 ,,,
cds.comp104635_c0_seq1|m.6686, 0.0032 , 0.0052 , 0.0046 , 0.0068 , 0.0032 , 0.0048 , 0.0093 , 0.0063 , 0.0057 , 0.0050 , 0.0058 ,,,
cds.comp104720_c0_seq1|m.6711, 0.0041 , 0.0030 , 0.0021 , 0.0012 , 0.0000 , 0.0032 , 0.0044 , 0.0052 , 0.0035 , 0.0026 , 0.0033 ,,,
cds.comp104793_c0_seq1|m.6730, 0.0052 , 0.0049 , 0.0020 , 0.0037 , 0.0038 , 0.0048 , 0.0024 , 0.0027 , 0.0039 , 0.0039 , 0.0035 ,,,
cds.comp104868_c0_seq1|m.6739, 0.0033 , 0.0035 , 0.0019 , 0.0029 , 0.0018 , 0.0054 , 0.0046 , 0.0034 , 0.0044 , 0.0029 , 0.0039 ,,,
cds.comp104902_c0_seq3|m.6743, 0.0607 , 0.0491 , 0.0181 , 0.0407 , 0.0279 , 0.0537 , 0.0449 , 0.0477 , 0.0629 , 0.0422 , 0.0474 ,,,
cds.comp105262_c0_seq1|m.6790, 0.0068 , 0.0005 , 0.0011 , 0.0006 , 0.0018 , 0.0020 , 0.0034 , 0.0024 , 0.0036 , 0.0022 , 0.0026 ,,,
cds.comp105391_c0_seq1|m.6806, 0.1197 , 0.1268 , 0.0908 , 0.0968 , 0.1168 , 0.1320 , 0.0842 , 0.0983 , 0.0935 , 0.1085 , 0.1049 ,,,
cds.comp105634_c1_seq1|m.6836, 0.0075 , 0.0092 , 0.0094 , 0.0053 , 0.0074 , 0.0164 , 0.0084 , 0.0073 , 0.0038 , 0.0078 , 0.0087 ,,,
cds.comp105705_c0_seq1|m.6848, 0.0549 , 0.0500 , 0.0603 , 0.0557 , 0.0453 , 0.0589 , 0.0735 , 0.0657 , 0.0621 , 0.0552 , 0.0611 ,,,
cds.comp105830_c0_seq1|m.6876, 0.0169 , 0.0072 , 0.0147 , 0.0085 , 0.0128 , 0.0050 , 0.0099 , 0.0062 , 0.0025 , 0.0118 , 0.0073 ,,,
cds.comp105871_c1_seq1|m.6882, 0.0083 , 0.0197 , 0.0021 , 0.0103 , 0.0170 , 0.0254 , 0.0042 , 0.0047 , 0.0180 , 0.0101 , 0.0139 ,,,
cds.comp105872_c0_seq1|m.6883, 0.0338 , 0.0299 , 0.0137 , 0.0037 , 0.0203 , 0.0188 , 0.0227 , 0.0245 , 0.0192 , 0.0203 , 0.0211 ,,,
cds.comp105872_c0_seq2|m.6884, 0.0338 , 0.0299 , 0.0137 , 0.0037 , 0.0203 , 0.0188 , 0.0227 , 0.0245 , 0.0192 , 0.0203 , 0.0211 ,,,
cds.comp105894_c0_seq1|m.6887, 0.0070 , 0.0049 , 0.0070 , 0.0044 , 0.0036 , 0.0080 , 0.0045 , 0.0050 , 0.0033 , 0.0058 , 0.0049 ,,,
cds.comp105922_c1_seq1|m.6896, 0.0752 , 0.0405 , 0.0398 , 0.0685 , 0.0364 , 0.1062 , 0.0656 , 0.1431 , 0.0773 , 0.0560 , 0.0857 ,,,
cds.comp105966_c0_seq1|m.6904, 0.0005 , 0.0001 , 0.0009 , 0.0001 , 0.0041 , 0.0011 , 0.0009 , 0.0026 , 0.0010 , 0.0004 , 0.0019 ,,,
cds.comp106153_c0_seq1|m.6948, 0.0092 , 0.0110 , 0.0008 , 0.0084 , 0.0041 , 0.0084 , 0.0038 , 0.0009 , 0.0078 , 0.0074 , 0.0050 ,,,
cds.comp106286_c0_seq1|m.6988, 0.0008 , 0.0015 , 0.0007 , 0.0000 , 0.0050 , 0.0006 , 0.0006 , 0.0000 , 0.0019 , 0.0008 , 0.0016 ,,,
cds.comp106341_c0_seq1|m.7007, 0.0066 , 0.0079 , 0.0047 , 0.0016 , 0.0071 , 0.0081 , 0.0071 , 0.0063 , 0.0066 , 0.0052 , 0.0070 ,,,
cds.comp106375_c1_seq1|m.7016, 0.0015 , 0.0011 , 0.0030 , 0.0033 , 0.0026 , 0.0009 , 0.0060 , 0.0069 , 0.0028 , 0.0022 , 0.0038 ,,,
cds.comp106437_c1_seq1|m.7039, 0.0022 , 0.0005 , 0.0003 , 0.0000 , 0.0001 , 0.0026 , 0.0000 , 0.0000 , 0.0000 , 0.0007 , 0.0005 ,,,
cds.comp106658_c1_seq1|m.7098, 0.0134 , 0.0090 , 0.0064 , 0.0136 , 0.0061 , 0.0091 , 0.0139 , 0.0118 , 0.0132 , 0.0106 , 0.0108 ,,,
cds.comp106658_c1_seq2|m.7099, 0.0134 , 0.0090 , 0.0064 , 0.0136 , 0.0061 , 0.0091 , 0.0139 , 0.0118 , 0.0132 , 0.0106 , 0.0108 ,,,
cds.comp106737_c0_seq1|m.7115, 0.0702 , 0.0936 , 0.0277 , 0.0659 , 0.0126 , 0.0825 , 0.0524 , 0.0581 , 0.1100 , 0.0643 , 0.0631 ,,,
cds.comp106737_c0_seq2|m.7116, 0.0702 , 0.0936 , 0.0277 , 0.0659 , 0.0126 , 0.0825 , 0.0524 , 0.0581 , 0.1100 , 0.0643 , 0.0631 ,,,
cds.comp106737_c1_seq1|m.7117, 0.1837 , 0.1696 , 0.1201 , 0.1655 , 0.0866 , 0.1909 , 0.1362 , 0.1478 , 0.2124 , 0.1597 , 0.1548 ,,,
cds.comp106737_c1_seq2|m.7120, 0.0655 , 0.0589 , 0.0130 , 0.0678 , 0.0228 , 0.0673 , 0.0508 , 0.0540 , 0.1009 , 0.0513 , 0.0591 ,,,
cds.comp106737_c1_seq2|m.7122, 0.1182 , 0.1107 , 0.1071 , 0.0977 , 0.0638 , 0.1236 , 0.0854 , 0.0938 , 0.1116 , 0.1084 , 0.0956 ,,,
cds.comp106991_c0_seq1|m.7166, 0.0067 , 0.0092 , 0.0021 , 0.0041 , 0.0020 , 0.0088 , 0.0043 , 0.0015 , 0.0092 , 0.0055 , 0.0052 ,,,
cds.comp107001_c0_seq1|m.7169, 0.0035 , 0.0021 , 0.0012 , 0.0010 , 0.0034 , 0.0030 , 0.0012 , 0.0021 , 0.0004 , 0.0019 , 0.0020 ,,,
cds.comp107063_c0_seq1|m.7194, 0.0033 , 0.0114 , 0.0038 , 0.0303 , 0.0075 , 0.0038 , 0.0167 , 0.0106 , 0.0168 , 0.0122 , 0.0111 ,,,
cds.comp107097_c0_seq2|m.7203, 0.0073 , 0.0081 , 0.0133 , 0.0125 , 0.0107 , 0.0063 , 0.0235 , 0.0170 , 0.0159 , 0.0103 , 0.0147 ,,,
cds.comp107218_c0_seq1|m.7225, 0.0545 , 0.0535 , 0.0125 , 0.0291 , 0.0234 , 0.0240 , 0.0268 , 0.0277 , 0.0384 , 0.0374 , 0.0281 ,,,
cds.comp107306_c0_seq1|m.7244, 0.0046 , 0.0051 , 0.0102 , 0.0056 , 0.0015 , 0.0041 , 0.0069 , 0.0062 , 0.0059 , 0.0064 , 0.0049 ,,,
cds.comp107420_c1_seq1|m.7268, 0.0001 , 0.0000 , 0.0001 , 0.0028 , 0.0007 , 0.0002 , 0.0000 , 0.0008 , 0.0000 , 0.0007 , 0.0003 ,,,
cds.comp107491_c0_seq1|m.7277, 0.0034 , 0.0029 , 0.0006 , 0.0011 , 0.0015 , 0.0015 , 0.0011 , 0.0024 , 0.0011 , 0.0020 , 0.0015 ,,,
cds.comp107521_c1_seq1|m.7290, 0.0089 , 0.0085 , 0.0073 , 0.0107 , 0.0068 , 0.0077 , 0.0091 , 0.0110 , 0.0092 , 0.0088 , 0.0087 ,,,
cds.comp107667_c1_seq1|m.7312, 0.0090 , 0.0080 , 0.0021 , 0.0016 , 0.0049 , 0.0070 , 0.0089 , 0.0042 , 0.0062 , 0.0052 , 0.0062 ,,,
cds.comp107667_c1_seq2|m.7313, 0.0090 , 0.0080 , 0.0021 , 0.0016 , 0.0049 , 0.0070 , 0.0089 , 0.0042 , 0.0062 , 0.0052 , 0.0062 ,,,
cds.comp107782_c0_seq1|m.7353, 0.0318 , 0.0319 , 0.0237 , 0.0200 , 0.0323 , 0.0361 , 0.0217 , 0.0247 , 0.0214 , 0.0269 , 0.0272 ,,,
cds.comp107782_c0_seq2|m.7356, 0.0318 , 0.0319 , 0.0237 , 0.0200 , 0.0323 , 0.0361 , 0.0217 , 0.0247 , 0.0214 , 0.0269 , 0.0272 ,,,
cds.comp107782_c0_seq3|m.7357, 0.0318 , 0.0319 , 0.0237 , 0.0200 , 0.0323 , 0.0361 , 0.0217 , 0.0247 , 0.0214 , 0.0269 , 0.0272 ,,,
cds.comp107831_c1_seq1|m.7363, 0.0248 , 0.0093 , 0.0108 , 0.0085 , 0.0026 , 0.0186 , 0.0108 , 0.0101 , 0.0104 , 0.0133 , 0.0105 ,,,
cds.comp107870_c1_seq1|m.7377, 0.0010 , 0.0099 , 0.0000 , 0.0000 , 0.0013 , 0.0000 , 0.0026 , 0.0000 , 0.0000 , 0.0027 , 0.0008 ,,,
cds.comp107894_c0_seq1|m.7379, 0.0311 , 0.0265 , 0.0129 , 0.0086 , 0.0148 , 0.0327 , 0.0191 , 0.0260 , 0.0173 , 0.0198 , 0.0220 ,,,
cds.comp107905_c0_seq2|m.7381, 0.0283 , 0.0233 , 0.0212 , 0.0241 , 0.0199 , 0.0304 , 0.0373 , 0.0264 , 0.0245 , 0.0242 , 0.0277 ,,,
cds.comp108002_c0_seq1|m.7396, 0.0024 , 0.0029 , 0.0028 , 0.0024 , 0.0028 , 0.0046 , 0.0030 , 0.0028 , 0.0015 , 0.0026 , 0.0029 ,,,
cds.comp108002_c0_seq2|m.7397, 0.0024 , 0.0029 , 0.0028 , 0.0024 , 0.0028 , 0.0046 , 0.0030 , 0.0028 , 0.0015 , 0.0026 , 0.0029 ,,,
cds.comp108091_c0_seq1|m.7410, 0.0108 , 0.0040 , 0.0029 , 0.0044 , 0.0043 , 0.0051 , 0.0124 , 0.0028 , 0.0169 , 0.0055 , 0.0083 ,,,
cds.comp108133_c1_seq1|m.7418, 0.0044 , 0.0029 , 0.0017 , 0.0020 , 0.0009 , 0.0026 , 0.0012 , 0.0006 , 0.0008 , 0.0028 , 0.0012 ,,,
cds.comp108228_c0_seq1|m.7442, 0.0128 , 0.0076 , 0.0082 , 0.0085 , 0.0033 , 0.0136 , 0.0064 , 0.0225 , 0.0142 , 0.0093 , 0.0120 ,,,
cds.comp108291_c0_seq1|m.7468, 0.0020 , 0.0079 , 0.0033 , 0.0040 , 0.0010 , 0.0027 , 0.0022 , 0.0077 , 0.0051 , 0.0043 , 0.0038 ,,,
cds.comp108449_c0_seq1|m.7504, 0.0114 , 0.0110 , 0.0081 , 0.0037 , 0.0005 , 0.0146 , 0.0059 , 0.0087 , 0.0019 , 0.0086 , 0.0063 ,,,
cds.comp108487_c0_seq1|m.7514, 0.2789 , 0.2496 , 0.0828 , 0.2401 , 0.2186 , 0.2634 , 0.1587 , 0.1657 , 0.3167 , 0.2129 , 0.2246 ,,,
cds.comp108641_c0_seq1|m.7553, 0.0006 , 0.0014 , 0.0046 , 0.0045 , 0.0011 , 0.0025 , 0.0114 , 0.0082 , 0.0043 , 0.0028 , 0.0055 ,,,
cds.comp108641_c1_seq1|m.7555, 0.0000 , 0.0020 , 0.0066 , 0.0026 , 0.0090 , 0.0022 , 0.0088 , 0.0088 , 0.0035 , 0.0028 , 0.0065 ,,,
cds.comp108798_c1_seq1|m.7589, 0.0000 , 0.0084 , 0.0006 , 0.0000 , 0.0000 , 0.0000 , 0.0004 , 0.0000 , 0.0000 , 0.0022 , 0.0001 ,,,
cds.comp108850_c0_seq1|m.7597, 0.0084 , 0.0025 , 0.0043 , 0.0055 , 0.0095 , 0.0095 , 0.0047 , 0.0047 , 0.0058 , 0.0052 , 0.0068 ,,,
cds.comp109157_c0_seq1|m.7671, 0.0102 , 0.0147 , 0.0178 , 0.0057 , 0.0104 , 0.0087 , 0.0165 , 0.0082 , 0.0067 , 0.0121 , 0.0101 ,,,
cds.comp109225_c0_seq1|m.7690, 0.0729 , 0.0551 , 0.0211 , 0.0695 , 0.0283 , 0.0515 , 0.0500 , 0.0481 , 0.0976 , 0.0547 , 0.0551 ,,,
cds.comp109238_c0_seq1|m.7695, 0.0334 , 0.0305 , 0.0265 , 0.0224 , 0.0191 , 0.0247 , 0.0281 , 0.0252 , 0.0200 , 0.0282 , 0.0234 ,,,
cds.comp109259_c0_seq1|m.7704, 1.3330 , 1.7954 , 2.6297 , 3.0852 , 1.0128 , 1.7877 , 2.9312 , 2.1376 , 2.3354 , 2.2108 , 2.0409 ,,,
cds.comp109267_c0_seq1|m.7709, 0.0042 , 0.0049 , 0.0027 , 0.0032 , 0.0060 , 0.0031 , 0.0017 , 0.0046 , 0.0042 , 0.0037 , 0.0039 ,,,
cds.comp109341_c1_seq1|m.7722, 0.0095 , 0.0044 , 0.0056 , 0.0020 , 0.0019 , 0.0032 , 0.0040 , 0.0038 , 0.0038 , 0.0054 , 0.0033 ,,,
cds.comp109341_c2_seq1|m.7724, 0.0184 , 0.0125 , 0.0154 , 0.0091 , 0.0130 , 0.0306 , 0.0115 , 0.0092 , 0.0169 , 0.0139 , 0.0162 ,,,
cds.comp109341_c2_seq2|m.7725, 0.0184 , 0.0125 , 0.0154 , 0.0091 , 0.0130 , 0.0306 , 0.0115 , 0.0092 , 0.0169 , 0.0139 , 0.0162 ,,,
cds.comp109478_c0_seq1|m.7763, 0.1325 , 0.1461 , 0.1962 , 0.1004 , 0.1839 , 0.2308 , 0.1596 , 0.1825 , 0.1502 , 0.1438 , 0.1814 ,,,
cds.comp109481_c1_seq1|m.7764, 0.0702 , 0.0418 , 0.0533 , 0.0857 , 0.0395 , 0.0577 , 0.0730 , 0.0388 , 0.0504 , 0.0628 , 0.0519 ,,,
cds.comp109520_c0_seq1|m.7777, 0.1569 , 0.1470 , 0.0343 , 0.1276 , 0.1509 , 0.1770 , 0.0790 , 0.1015 , 0.1441 , 0.1164 , 0.1305 ,,,
cds.comp109532_c0_seq1|m.7779, 0.6083 , 0.5463 , 0.4622 , 0.4145 , 0.6469 , 0.6851 , 0.4142 , 0.4337 , 0.4043 , 0.5078 , 0.5168 ,,,
cds.comp109543_c0_seq1|m.7780, 0.4205 , 0.3810 , 0.3848 , 0.2562 , 0.1791 , 0.5177 , 0.3161 , 0.3404 , 0.2648 , 0.3606 , 0.3237 ,,,
cds.comp109547_c0_seq1|m.7781, 1.3484 , 1.4815 , 1.3291 , 1.0661 , 1.3402 , 1.6770 , 1.2897 , 1.3357 , 1.2601 , 1.3063 , 1.3805 ,,,
