NormProtAreaAgg.Protein.Name	bareCaseInlet	bareFidalgoBay	barePortGamble	bareSkokomishRiver	bareWillapaBay	eelgrassCaseInlet	eelgrassFidalgoBay	eelgrassPortGamble	eelgrassSkokomishRiver	Evalue	SPID	ProteinName	Organism	GO	PFAM
comp101681_c0_seq2	2.4813e-05	0.001478148	7.3168e-05	4.0933e-05	1.0402e-05	0.000199469	0.000151494	0.001371565	0.000167324	2e-38	Q08D11	Phosphatidylserine synthase 2 (PSS-2) (PtdSer synthase 2) (EC 2.7.8.29) (Serine-exchange enzyme II)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	phosphatidylserine biosynthetic process [GO:0006659]; phospholipid biosynthetic process [GO:0008654]	PF03034;
comp101771_c0_seq1	0.003647838	0.006728243	0.00159697365625	0.00105646421212121	8.5912e-05	0.00014141	0.000276401	0.00426841696296296	0.000398582	2e-14	Q8K385	Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2)	Mus musculus (Mouse)		PF03351;PF02014;
comp101984_c0_seq1	0.002152507	0.010291338	0.000767532	0.000466122	0.002453978	0.005326248	0.000342818	0.000856524	0.002227848	1e-16	O15085	Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF)	Homo sapiens (Human)	actin cytoskeleton organization [GO:0030036]; cytokinesis [GO:0000910]; establishment of cell polarity [GO:0030010]; G-protein coupled receptor signaling pathway [GO:0007186]; movement of cell or subcellular component [GO:0006928]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cell growth [GO:0001558]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]; Rho protein signal transduction [GO:0007266]; striated muscle contraction [GO:0006941]	PF00595;PF09128;PF00621;
comp101984_c1_seq1	0.001967935	0.00342436	0.003751468	0.002517594	0.000200054	0.003306175	0.001958216	0.002372055	0.003653421	7e-09	Q61210	Rho guanine nucleotide exchange factor 1 (Lbc's second cousin) (Lymphoid blast crisis-like 2)	Mus musculus (Mouse)	regulation of Rho protein signal transduction [GO:0035023]	PF09128;PF00621;
comp101998_c0_seq1	0.001383963	0.005453331	0.000712873	0.001082623	0.001306102	0.0006783	0.00251398	0.005721619	0.002393941	1e-34	Q7M456	Ribonuclease Oy (RNase Oy) (EC 3.1.27.-)	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)		PF00445;
comp102255_c0_seq1	0.001167435	0.000294819	0.000536573	0.00102635	0.001036723	0.000539163	0.00067535	0.001645709	0.000703991	1e-42	P42680	Tyrosine-protein kinase Tec (EC 2.7.10.2)	Homo sapiens (Human)	adaptive immune response [GO:0002250]; B cell receptor signaling pathway [GO:0050853]; cell differentiation [GO:0030154]; Fc-epsilon receptor signaling pathway [GO:0038095]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; protein phosphorylation [GO:0006468]; regulation of cell proliferation [GO:0042127]; regulation of platelet activation [GO:0010543]; tissue regeneration [GO:0042246]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	PF00779;PF00169;PF07714;PF00017;PF00018;
comp102256_c1_seq1	0.002716201	0.008968762	0.005809922	0.004876671	0.002450838	0.00742938	0.000721276	0.009983448	0.012481803	4e-32	Q8TDB6	E3 ubiquitin-protein ligase DTX3L (EC 6.3.2.-) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (Rhysin-2) (Rhysin2)	Homo sapiens (Human)	cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair [GO:0006302]; histone monoubiquitination [GO:0010390]; protein polyubiquitination [GO:0000209]	
comp102288_c0_seq1	0.150755283	0.018136284	0.285533588	0.188357745	0.306499038	0.084451525	0.252833182	0.200925907	0.207155265	6e-72	P02556	Tubulin beta chain (Beta-tubulin) (Fragment)	Lytechinus pictus (Painted sea urchin)	microtubule-based process [GO:0007017]	PF03953;
comp102323_c2_seq1	0.011252656	0.056763636	0.027142033	0.001866609	0.018048049	0.025733363	0.023503962	0.007685352	0.010315507	2e-86	Q0II59	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	Bos taurus (Bovine)	cell proliferation [GO:0008283]; pyridoxal 5'-phosphate salvage [GO:0009443]; vitamin B6 metabolic process [GO:0042816]	PF08543;
comp102323_c2_seq2	0.011252656	0.056763636	0.027142033	0.001866609	0.018048049	0.025733363	0.023503962	0.007685352	0.010315507	1e-70	Q8W1X2	Pyridoxal kinase (EC 2.7.1.35) (Protein SALT OVERLY SENSITIVE 4) (Pyridoxal kinase-like protein SOS4) (Pyridoxine kinase) [Cleaved into: Pyridoxal kinase, N-terminally processed]	Arabidopsis thaliana (Mouse-ear cress)	hyperosmotic salinity response [GO:0042538]; pyridoxal 5'-phosphate salvage [GO:0009443]; pyridoxine biosynthetic process [GO:0008615]; trichoblast differentiation [GO:0010054]	PF08543;
comp102414_c0_seq1	0.003990949	0.002332113	0.001316695	0.002638393	0.00175673	0.006854517	0.000413744	0.002563174	0.00255137	2e-70	Q7ZW86	Peptidyl-prolyl cis-trans isomerase CWC27 homolog (PPIase CWC27) (EC 5.2.1.8)	Danio rerio (Zebrafish) (Brachydanio rerio)	protein folding [GO:0006457]	PF00160;
comp102745_c0_seq1	0.035059613	0.004045764	0.039162432	0.036512287	0.025182558	0.026048306	0.032513333	0.037084928	0.027460611	8e-77	Q7PPU9	Band 7 protein AGAP004871	Anopheles gambiae (African malaria mosquito)		PF01145;
comp102812_c0_seq2	0.004691005	0.001889019	0.001970422	0.005109624	0.004793007	0.00158417	0.003253234	0.002079989	0.004048701	3e-64	Q8VCR2	17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Alcohol dehydrogenase PAN1B-like) (Short-chain dehydrogenase/reductase 9)	Mus musculus (Mouse)	positive regulation of lipid biosynthetic process [GO:0046889]	PF00106;
comp102812_c0_seq3	0.001442132	0	5.4883e-05	0.002555489	0.001982392	4.7895e-05	0.00126692	0.00426841696296296	0.000645124	2e-09	P06235	Nodulation protein G (Host-specificity of nodulation protein C)	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	nodulation [GO:0009877]	
comp102853_c1_seq1	0.004023159	0.009020716	0.006451063	0.007936029	0.009387533	0.002736656	0.003640711	0.013409047	0.006924664	9e-11	Q9H251	Cadherin-23 (Otocadherin)	Homo sapiens (Human)	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; calcium ion transport [GO:0006816]; equilibrioception [GO:0050957]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; locomotory behavior [GO:0007626]; photoreceptor cell maintenance [GO:0045494]; regulation of cytosolic calcium ion concentration [GO:0051480]; response to stimulus [GO:0050896]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]; visual perception [GO:0007601]	PF00028;
comp103010_c0_seq1	0.001307055	1.8909e-05	0.0010391	0.000967645	0.001140734	0.002973312	0.001048688	0.002107379	4.5074e-05	3e-22	Q8N0X7	Spartin (Spastic paraplegia 20 protein) (Trans-activated by hepatitis C virus core protein 1)	Homo sapiens (Human)	abscission [GO:0009838]; adipose tissue development [GO:0060612]; cell division [GO:0051301]; lipid particle organization [GO:0034389]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of collateral sprouting in absence of injury [GO:0048698]; neuromuscular process [GO:0050905]; regulation of mitochondrial membrane potential [GO:0051881]	PF06911;
comp103222_c0_seq1	0.002465481	9.8321e-05	4.587e-05	0.003394051	0.002694146	0.003301074	0.00076292	0.000897313	0.000108977	3e-108	O02695	Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.48) (M1851)	Macaca nemestrina (Pig-tailed macaque)	insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; neurotransmitter secretion [GO:0007269]	PF11548;PF14948;PF00102;
comp103293_c0_seq1	0.00571338	0.006053741	0.010210786	0.004999014	0.00328481	0.010708357	0.005105514	0.007230406	0.003243301	0	P22682	E3 ubiquitin-protein ligase CBL (EC 6.3.2.-) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (Signal transduction protein CBL)	Mus musculus (Mouse)	bone resorption [GO:0045453]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of apoptotic process [GO:0043066]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of receptor-mediated endocytosis [GO:0048260]; protein phosphorylation [GO:0006468]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]	PF02262;PF02761;PF02762;PF00627;
comp103336_c1_seq2	0.056653389	0.019342159	0.058283362	0.021833355	0.084417049	0.040063255	0.041274695	0.024623316	0.064301375	6e-66	Q5PU49	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	Canis lupus familiaris (Dog) (Canis familiaris)	apoptotic process [GO:0006915]; cell cycle [GO:0007049]; cellular response to angiotensin [GO:1904385]; defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of filopodium assembly [GO:0051490]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of platelet aggregation [GO:0090331]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of superoxide anion generation [GO:0032930]	PF00130;PF00069;PF00433;
comp103336_c1_seq3	0.021354998	0.009953388	0.030749768	0.021440945	0.029014348	0.032297967	0.033534831	0.024567016	0.024541945	1e-33	P83099	Putative protein kinase C delta type homolog (EC 2.7.11.13)	Drosophila melanogaster (Fruit fly)	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]	PF00130;PF00069;PF00433;
comp103336_c1_seq4	0.04254867	0.009540585	0.038059427	0.004603244	0.062559568	0.020458003	0.021237695	0.005151841	0.046589031	5e-07	Q7TT49	Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)	Rattus norvegicus (Rat)	actin cytoskeleton organization [GO:0030036]; actin cytoskeleton reorganization [GO:0031532]; actomyosin structure organization [GO:0031032]; cell migration [GO:0016477]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]	PF00130;PF00780;PF08826;PF15796;PF00069;
comp103523_c0_seq2	0.1468217	0.061419363	0.113586728	0.130028865	0.210988614	0.098719564	0.121424609	0.161724192	0.168739982	2e-76	Q9Y6F1	Poly [ADP-ribose] polymerase 3 (PARP-3) (hPARP-3) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)	Homo sapiens (Human)	DNA ligation involved in DNA repair [GO:0051103]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; lagging strand elongation [GO:0006273]; positive regulation of DNA ligation [GO:0051106]; protein ADP-ribosylation [GO:0006471]; protein localization to site of double-strand break [GO:1990166]; regulation of mitotic spindle organization [GO:0060236]; telomere maintenance [GO:0000723]	PF00644;PF02877;PF05406;
comp103578_c0_seq3	0.058611503	0.077437277	0.101495244	0.066052912	0.093510434	0.038764082	0.071217543	0.081203106	0.072768057	3e-131	Q9YH58	Formimidoyltransferase-cyclodeaminase (Formiminotransferase-cyclodeaminase) (FTCD) (p60) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)]	Gallus gallus (Chicken)	histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]; tetrahydrofolate interconversion [GO:0035999]	PF02971;PF04961;PF07837;
comp103610_c0_seq1	0.040631098	0.01403647	0.020419013	0.049878426	0.038511467	0.00544125	0.00456438	0.047257283	0.0272919	2e-20	P70549	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)	Rattus norvegicus (Rat)	calcium ion export from cell [GO:1990034]; calcium ion import into cell [GO:1990035]; calcium ion transport into cytosol [GO:0060402]; cell communication [GO:0007154]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transport [GO:0006851]; myelination [GO:0042552]; oligodendrocyte differentiation [GO:0048709]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transport [GO:0006814]; telencephalon development [GO:0021537]	PF03160;PF01699;PF16494;
comp103927_c0_seq1	0.014807634	0.058986053	0.046264025	0.023297049	0.019196488	0.027110821	0.044582637	0.036807598	0.035740909	4e-57	Q5SYL3	Protein KIAA0100	Mus musculus (Mouse)		PF10351;PF10344;PF10347;
comp104060_c0_seq1	0.003359704	0.027167663	0.019647358	0.010937598	0.005005425	0.009769088	0.013670349	0.012860213	0.015920484	2e-20	Q6JQN1	Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)	Homo sapiens (Human)	fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; lipid homeostasis [GO:0055088]	PF00441;PF02770;PF02771;PF01636;PF13419;
comp104174_c0_seq1	0.077187816	0.047207989	0.052444644	0.067863586	0.058839018	0.047715472	0.041549049	0.053126146	0.047933682	3e-43	P24367	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	Gallus gallus (Chicken)	chaperone-mediated protein folding [GO:0061077]; protein peptidyl-prolyl isomerization [GO:0000413]	PF00160;
comp104555_c1_seq1	0.000318026	6.2492e-05	0.002070074	0.000386271	2.6749e-05	0.001333997	0.003752687	0.000431158	0.004162112	2e-44	Q32LJ4	Tumor protein p63-regulated gene 1-like protein (Mossy fiber terminal-associated vertebrate-specific presynaptic protein) (Protein FAM79A)	Bos taurus (Bovine)		PF12456;
comp104632_c0_seq1	0.007500802	0.001908104	0.011305424	0.009744191	0.007553582	0.00853978	0.008819894	0.012724834	0.008866787	8e-33	Q09506	Uncharacterized protein C45G9.7	Caenorhabditis elegans	regulation of Wnt signaling pathway [GO:0030111]; Rho protein signal transduction [GO:0007266]	PF00595;
comp104635_c0_seq1	0.010911583	0.003343119	0.006370775	0.00531128	0.006986451	0.00315834	0.004681252	0.004171096	0.008564966	2e-58	P36609	Neuronal calcium sensor 2 (NCS-2)	Caenorhabditis elegans		PF00036;PF13499;
comp104720_c0_seq1	0.006124612	2.7647e-05	0.000188549	0.004805529	0.006595066	0.004151099	0.00190244	0.000388586	0.00202913	2e-31	Q5FVR2	Thymidine phosphorylase (TP) (EC 2.4.2.4) (TdRPase)	Rattus norvegicus (Rat)	pyrimidine nucleobase metabolic process [GO:0006206]; pyrimidine nucleoside metabolic process [GO:0006213]; pyrimidine nucleotide metabolic process [GO:0006220]	PF02885;PF00591;PF07831;
comp104793_c0_seq1	0.002455856	0.0039395	0.004399668	0.003172123	0.003457201	0.002096671	0.004627429	0.005308398	0.004521098	5e-32	B0BM24	Protein FAM161A	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	cell projection organization [GO:0030030]	PF10595;
comp104868_c0_seq1	0.005041938	0.002097609	0.005491752	0.00353961	0.004219489	0.002314224	0.00295488	0.003474796	0.003007892	4e-59	O08688	Calpain-5 (EC 3.4.22.-) (New calpain 3) (nCL-3)	Mus musculus (Mouse)	granulosa cell differentiation [GO:0060014]; luteinization [GO:0001553]; ovarian follicle development [GO:0001541]; proteolysis [GO:0006508]	PF01067;PF00648;
comp104902_c0_seq3	0.046077068	0.02160189	0.044897572	0.03992333	0.063607103	0.006006181	0.045959279	0.042914357	0.046156763	9e-60	Q8TE73	Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)	Homo sapiens (Human)	cilium assembly [GO:0042384]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]; sperm motility [GO:0030317]	PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;
comp105391_c0_seq1	0.083315011	0.11815354	0.138388728	0.095012684	0.077122036	0.082738094	0.103400902	0.137375568	0.108687122	1e-19	Q24799	Myophilin	Echinococcus granulosus (Hydatid tapeworm)		PF00402;PF00307;
comp105634_c1_seq1	0.007983804	0.001751328	0.016961396	0.007891203	0.000535448	0.007986818	0.003897432	0.010523231	0.008312212	4e-40	Q90578	Vitamin D3 hydroxylase-associated protein (VDHAP)	Gallus gallus (Chicken)		PF01425;
comp105705_c0_seq1	0.067101478	0.043434401	0.055727526	0.069983732	0.054983612	0.060541752	0.056492785	0.049174352	0.073967544	3e-16	Q9US38	AB hydrolase superfamily protein C1039.03 (EC 3.-.-.-)	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	metabolic process [GO:0008152]	PF07859;
comp105830_c0_seq1	0.008488564	0.007049887	0.000429432	0.006168313	0.000729561	0.016610846	0.01713732	0.003099444	0.003312302	1e-09	A9JRD8	BTB/POZ domain-containing protein 6-A	Danio rerio (Zebrafish) (Brachydanio rerio)	regulation of neurogenesis [GO:0050767]	PF07707;PF00651;PF08005;
comp105871_c1_seq1	0.00367023	0.016967	0.026216727	0.002527231	0.017845496	0.001056783	0.006067911	0.020264219	0.011985147	2e-09	Q08DJ5	Cadherin-18	Bos taurus (Bovine)	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	PF00028;PF01049;
comp105872_c0_seq2	0.035845969	0.030210659	0.03748225	0.037625931	0.000309549	0.025004891	0.031362236	0.029651387	0.004337792	1e-59	A6NEE1	Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1)	Homo sapiens (Human)		PF00169;
comp105922_c1_seq1	0.069711408	0.037997434	0.105762943	0.147045822	0.07349623	0.042167179	0.066815726	0.042516048	0.072082723	2e-19	Q7Z0T3	Temptin	Aplysia californica (California sea hare)		
comp105966_c0_seq1	0.000962944	0.007802738	0.001270494	0.001399721	0.000996525	0.001629351	0.000403264	0.000162835	0.000147501	3e-09	Q9V5N8	Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)	Drosophila melanogaster (Fruit fly)	axon guidance [GO:0007411]; axonogenesis [GO:0007409]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; dendrite development [GO:0016358]; dendrite morphogenesis [GO:0048813]; dendrite self-avoidance [GO:0070593]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; morphogenesis of a polarized epithelium [GO:0001738]; mushroom body development [GO:0016319]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of Wnt signaling pathway [GO:0030178]; ommatidial rotation [GO:0016318]; positive regulation of axon extension [GO:0045773]; positive regulation of axon guidance [GO:1902669]; positive regulation of Wnt signaling pathway [GO:0030177]; R3/R4 cell fate commitment [GO:0007464]; R3/R4 development [GO:0048057]; regulation of axonogenesis [GO:0050770]; regulation of establishment of planar polarity [GO:0090175]; regulation of synapse assembly [GO:0051963]; regulation of tube length, open tracheal system [GO:0035159]; segment polarity determination [GO:0007367]; sensory perception of pain [GO:0019233]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	PF00002;PF00028;PF00008;PF16489;PF01825;PF00053;PF02210;
comp106286_c0_seq1	0.000496531	0.004692076	0.001198334	5.992e-06	1.0666e-05	0.001108401	5.2176e-05	0.000903417	1.6296e-05	2e-82	Q5RC19	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; fatty acid oxidation [GO:0019395]; generation of precursor metabolites and energy [GO:0006091]; lipid metabolic process [GO:0006629]; prostaglandin metabolic process [GO:0006693]	PF01756;PF02770;PF14749;
comp106341_c0_seq1	0.005689651	0.00265721	0.008438318	0.006520706	0.006428295	0.004430657	0.004984145	0.008292155	0.001635113	1e-12	Q8BNA6	Protocadherin Fat 3 (FAT tumor suppressor homolog 3)	Mus musculus (Mouse)	cell morphogenesis involved in differentiation [GO:0000904]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of dendrite development [GO:2000171]; neuron migration [GO:0001764]; retina layer formation [GO:0010842]	PF00028;PF02210;
comp106375_c1_seq1	0.005112274	0.00527727	0.000243298	0.007414983	2.7198e-05	0.002915037	0.000127379	0.002120482	0.000615106	1e-06	A3KN33	Pikachurin (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	Bos taurus (Bovine)		PF00008;PF00041;PF00054;PF02210;
