NormProtAreaAgg.Protein.Name	bareCaseInlet	bareFidalgoBay	barePortGamble	bareSkokomishRiver	bareWillapaBay	eelgrassCaseInlet	eelgrassFidalgoBay	eelgrassPortGamble	eelgrassSkokomishRiver
comp102414_c0_seq1	0.003990949	0.002332113	0.001316695	0.002638393	0.00175673	0.006854517	0.000413744	0.002563174	0.00255137
comp102694_c0_seq1	0.080451063	0.017541299	0.048318976	0.071486566	0.069809053	0.053555866	0.033975852	0.052395732	0.050736967
comp102694_c1_seq1	0.033528122	0.004823003	0.02824792	0.03686746	0.034051555	0.020961455	0.010687042	0.027246541	0.018183209
comp102745_c0_seq1	0.035059613	0.004045764	0.039162432	0.036512287	0.025182558	0.026048306	0.032513333	0.037084928	0.027460611
comp102793_c0_seq1	0.011602134	0.008962169	0.022712708	0.011598073	0.004788614	0.001864307	0.004710881	0.011476013	0.006967603
comp102812_c0_seq2	0.004691005	0.001889019	0.001970422	0.005109624	0.004793007	0.00158417	0.003253234	0.002079989	0.004048701
comp102812_c0_seq3	0.001442132	0	5.4883e-05	0.002555489	0.001982392	4.7895e-05	0.00126692	0.00426841696296296	0.000645124
comp102853_c1_seq1	0.004023159	0.009020716	0.006451063	0.007936029	0.009387533	0.002736656	0.003640711	0.013409047	0.006924664
comp103006_c0_seq1	0.014324275	0.006081743	0.011447929	0.007564668	0.006216794	0.010162769	0.01055928	0.014451549	0.002786775
comp103010_c0_seq1	0.001307055	1.8909e-05	0.0010391	0.000967645	0.001140734	0.002973312	0.001048688	0.002107379	4.5074e-05
comp103222_c0_seq1	0.002465481	9.8321e-05	4.587e-05	0.003394051	0.002694146	0.003301074	0.00076292	0.000897313	0.000108977
comp103293_c0_seq1	0.00571338	0.006053741	0.010210786	0.004999014	0.00328481	0.010708357	0.005105514	0.007230406	0.003243301
comp103293_c0_seq3	0.002296654	0.001961085	0.006241719	0.001640495	0.001226171	0.008057201	0.003065299	0.002718756	0.000979614
comp103336_c1_seq2	0.056653389	0.019342159	0.058283362	0.021833355	0.084417049	0.040063255	0.041274695	0.024623316	0.064301375
comp103336_c1_seq3	0.021354998	0.009953388	0.030749768	0.021440945	0.029014348	0.032297967	0.033534831	0.024567016	0.024541945
comp103336_c1_seq4	0.04254867	0.009540585	0.038059427	0.004603244	0.062559568	0.020458003	0.021237695	0.005151841	0.046589031
comp103384_c1_seq1	0.001956518	5.9618e-05	0.001016871	0.000489565	0.002255363	0.00086043	0.001900513	0.0014017	0.002598395
comp103384_c1_seq2	0.005535033	0.003553475	0.003941359	0.003135722	0.006299461	0.003744932	0.006708223	0.004172511	0.006211743
comp103523_c0_seq1	0.130374166	0.06103992	0.099579658	0.099908592	0.174096498	0.079821486	0.104430359	0.146885659	0.126220833
comp103523_c0_seq2	0.1468217	0.061419363	0.113586728	0.130028865	0.210988614	0.098719564	0.121424609	0.161724192	0.168739982
comp103578_c0_seq1	0.05226535	0.062474568	0.090811265	0.059461985	0.085338418	0.033295846	0.06190619	0.072236593	0.059590993
comp103578_c0_seq2	0.058611503	0.077437277	0.101495244	0.066052912	0.093510434	0.038764082	0.071217543	0.081203106	0.072768057
comp103578_c0_seq3	0.058611503	0.077437277	0.101495244	0.066052912	0.093510434	0.038764082	0.071217543	0.081203106	0.072768057
comp103578_c0_seq4	0.017136042	0.01541471	0.011788083	0.013649196	0.022162621	0.007118661	0.018272755	0.014252379	0.005539155
comp103610_c0_seq1	0.040631098	0.01403647	0.020419013	0.049878426	0.038511467	0.00544125	0.00456438	0.047257283	0.0272919
comp103802_c0_seq1	9.2727e-05	1.6245e-05	0.001726061	0.000606212	0.001492535	5.363e-06	0.000152545	0.001477138	0.000407584
comp103927_c0_seq1	0.014807634	0.058986053	0.046264025	0.023297049	0.019196488	0.027110821	0.044582637	0.036807598	0.035740909
comp104060_c0_seq1	0.003359704	0.027167663	0.019647358	0.010937598	0.005005425	0.009769088	0.013670349	0.012860213	0.015920484
comp104174_c0_seq1	0.077187816	0.047207989	0.052444644	0.067863586	0.058839018	0.047715472	0.041549049	0.053126146	0.047933682
comp104494_c0_seq1	0.001613754	0.005968777	0.007976647	0.012463802	0.003823115	0.00327438	0.006624058	0.008741516	0.011102064
comp104555_c1_seq1	0.000318026	6.2492e-05	0.002070074	0.000386271	2.6749e-05	0.001333997	0.003752687	0.000431158	0.004162112
comp104589_c1_seq1	0.002099841	0.003756585	0.002751794	0.002288124	2.6663e-05	0.001639873	0.001201383	0.00118035	0.002550075
comp104632_c0_seq1	0.007500802	0.001908104	0.011305424	0.009744191	0.007553582	0.00853978	0.008819894	0.012724834	0.008866787
comp104635_c0_seq1	0.010911583	0.003343119	0.006370775	0.00531128	0.006986451	0.00315834	0.004681252	0.004171096	0.008564966
comp104720_c0_seq1	0.006124612	2.7647e-05	0.000188549	0.004805529	0.006595066	0.004151099	0.00190244	0.000388586	0.00202913
comp104793_c0_seq1	0.002455856	0.0039395	0.004399668	0.003172123	0.003457201	0.002096671	0.004627429	0.005308398	0.004521098
comp104868_c0_seq1	0.005041938	0.002097609	0.005491752	0.00353961	0.004219489	0.002314224	0.00295488	0.003474796	0.003007892
comp104902_c0_seq3	0.046077068	0.02160189	0.044897572	0.03992333	0.063607103	0.006006181	0.045959279	0.042914357	0.046156763
comp105262_c0_seq1	0.003164695	0.00354535	0.000516425	0.000878472	0.002404731	0.000124752	0.009924402	0.000705602	0.000241183
comp105391_c0_seq1	0.083315011	0.11815354	0.138388728	0.095012684	0.077122036	0.082738094	0.103400902	0.137375568	0.108687122
comp105634_c1_seq1	0.007983804	0.001751328	0.016961396	0.007891203	0.000535448	0.007986818	0.003897432	0.010523231	0.008312212
comp105705_c0_seq1	0.067101478	0.043434401	0.055727526	0.069983732	0.054983612	0.060541752	0.056492785	0.049174352	0.073967544
comp105830_c0_seq1	0.008488564	0.007049887	0.000429432	0.006168313	0.000729561	0.016610846	0.01713732	0.003099444	0.003312302
comp105871_c1_seq1	0.00367023	0.016967	0.026216727	0.002527231	0.017845496	0.001056783	0.006067911	0.020264219	0.011985147
comp105872_c0_seq1	0.035845969	0.030210659	0.03748225	0.037625931	0.000309549	0.025004891	0.031362236	0.029651387	0.004337792
comp105872_c0_seq2	0.035845969	0.030210659	0.03748225	0.037625931	0.000309549	0.025004891	0.031362236	0.029651387	0.004337792
comp105894_c0_seq1	0.002468966	0.002425537	0.007664301	0.004704463	0.002446334	0.008162774	0.007213801	0.005357259	0.00492037
comp105922_c1_seq1	0.069711408	0.037997434	0.105762943	0.147045822	0.07349623	0.042167179	0.066815726	0.042516048	0.072082723
comp105966_c0_seq1	0.000962944	0.007802738	0.001270494	0.001399721	0.000996525	0.001629351	0.000403264	0.000162835	0.000147501
comp106153_c0_seq1	0.004232784	0.000257037	0.013327875	0.001188403	0.008893754	0.000117116	0.007194372	0.011388272	0.013905928
comp106286_c0_seq1	0.000496531	0.004692076	0.001198334	5.992e-06	1.0666e-05	0.001108401	5.2176e-05	0.000903417	1.6296e-05
comp106341_c0_seq1	0.005689651	0.00265721	0.008438318	0.006520706	0.006428295	0.004430657	0.004984145	0.008292155	0.001635113
comp106375_c1_seq1	0.005112274	0.00527727	0.000243298	0.007414983	2.7198e-05	0.002915037	0.000127379	0.002120482	0.000615106
comp106437_c1_seq1	5.528e-06	7.929e-06	0.001855179	4.611e-06	3.0733e-05	6.741e-06	0.002822646	0.000518504	2.1747e-05
comp106658_c1_seq1	0.015656854	0.011350584	0.010070994	0.012932696	0.01113603	0.001646264	0.011408171	0.00533517	0.013278049
comp106658_c1_seq2	0.015656854	0.011350584	0.010070994	0.012932696	0.01113603	0.001646264	0.011408171	0.00533517	0.013278049
comp106737_c0_seq1	0.057693677	0.01246519	0.089922479	0.069319903	0.108020898	0.044743442	0.055539151	0.094119619	0.067285993
comp106737_c0_seq2	0.057693677	0.01246519	0.089922479	0.069319903	0.108020898	0.044743442	0.055539151	0.094119619	0.067285993
comp106737_c1_seq1	0.133358126	0.091794353	0.185931903	0.149778422	0.208643193	0.126916148	0.175413815	0.167321316	0.170148887
comp106737_c1_seq2	0.058051586	0.025368642	0.066018967	0.055228075	0.097415881	0.010605247	0.062068948	0.058303991	0.070162993
comp106737_c1_seq2	0.07530654	0.066425711	0.119912936	0.094550347	0.111227312	0.116310901	0.113344867	0.109017325	0.099985894
comp106991_c0_seq1	0.004053228	0.003333206	0.0109314	0.000883528	0.012060643	0.004126469	0.009995849	0.009765272	0.004518425
comp107001_c0_seq1	0.002136034	0.003754382	0.002785415	0.001936536	0.000491053	0.002091361	0.003352233	0.002287644	0.000270114
comp107063_c0_seq1	0.018113001	0.0084942	0.003833336	0.009607317	0.017173418	0.000445085	0.004940208	0.010582688	0.03187275
comp107097_c0_seq2	0.021786502	0.009797591	0.006341082	0.017881279	0.013081566	0.009675012	0.008472619	0.007752105	0.011492352
comp107218_c0_seq1	0.032584891	0.038360742	0.029929599	0.037694863	0.049176016	0.019393211	0.04443144	0.05618924	0.044194822
comp107306_c0_seq1	0.00692458	0.00053787	0.004461592	0.006630245	0.006132472	0.008456595	0.003978206	0.005143383	0.006293958
comp107420_c1_seq1	3.2309e-05	0.001366524	0.000310765	0.001518624	3.2052e-05	4.3331e-05	8.7107e-05	1.0145e-05	0.005623448
comp107491_c0_seq1	0.000289151	0.002593298	0.002533039	0.003000684	0.001920131	0.000243039	0.003082438	0.002129832	0.001893755
comp107521_c1_seq1	0.009397893	0.006292031	0.007928109	0.011534413	0.00819313	0.006641433	0.007656427	0.00863312	0.011289156
comp107667_c1_seq1	0.010359943	0.003612442	0.009015345	0.00528199	0.006564705	0.003023337	0.007348482	0.007622071	0.000493871
comp107667_c1_seq2	0.010359943	0.003612442	0.009015345	0.00528199	0.006564705	0.003023337	0.007348482	0.007622071	0.000493871
comp107782_c0_seq1	0.028380898	0.035291912	0.032900972	0.025113714	0.020580255	0.030758352	0.030609209	0.02966866	0.018322231
comp107782_c0_seq2	0.028380898	0.035291912	0.032900972	0.025113714	0.020580255	0.030758352	0.030609209	0.02966866	0.018322231
comp107782_c0_seq3	0.028380898	0.035291912	0.032900972	0.025113714	0.020580255	0.030758352	0.030609209	0.02966866	0.018322231
comp107831_c1_seq1	0.012302387	0.003519397	0.02115402	0.014274425	0.009015341	0.011529597	0.028523806	0.010199672	0.009605793
comp107870_c1_seq1	0.003239024	0.000859092	9.066e-06	1.3554e-05	4.3774e-05	3.5123e-05	0.002006616	0.010412993	4.8519e-05
comp107894_c0_seq1	0.021906144	0.000739552	0.032623335	0.028888779	0.011176124	0.008474949	0.01638077	0.022371823	0.00385417
comp107905_c0_seq2	0.040776443	0.025487654	0.032217457	0.030817125	0.027713173	0.021567807	0.025762578	0.026278852	0.023149064
comp108002_c0_seq1	0.003522598	0.003249162	0.005837221	0.00262796	0.001133617	0.003462226	0.003127132	0.003043185	0.003364339
comp108002_c0_seq2	0.003522598	0.003249162	0.005837221	0.00262796	0.001133617	0.003462226	0.003127132	0.003043185	0.003364339
comp108091_c0_seq1	0.008597093	0.000161013	0.004169085	0.002182585	0.01612847	0.002768115	0.008165846	0.004241195	0.003868732
comp108133_c1_seq1	0.001564274	6.2514e-05	0.004102085	0.00045099	0.000992481	0.001736098	0.002059721	0.003962747	0.003556248
comp108228_c0_seq1	0.006569841	0.00349059	0.017253508	0.020458311	0.01412241	0.014198471	0.007540933	0.008068624	0.010447648
comp108291_c0_seq1	0.002842036	0.001276907	0.002576861	0.009544078	0.008714482	0.005268366	0.002921189	0.00980961	0.007795144
comp108449_c0_seq1	0.008604608	0.000503164	0.01393447	0.010022156	0.002588879	0.006368572	0.010582216	0.009527115	0.003693181
comp108487_c0_seq1	0.162519192	0.225546907	0.266555097	0.178186629	0.30310009	0.087005072	0.260203384	0.235567072	0.255271646
comp108641_c0_seq1	0.013145876	9.3913e-05	0.00498115	0.008287755	0.005763655	5.8881e-05	0.000635075	0.002597345	0.006456986
comp108641_c1_seq1	0.009791611	0.017966986	8.113e-06	0.009610001	0.000118789	0.007338436	1.1774e-05	0.001707393	0.000217678
comp108798_c1_seq1	0.000491446	3.7503e-05	0.00159697365625	0.00105646421212121	3.658e-06	8.687e-06	0.00465853476190476	0.009176146	0.00127598061538462
comp108850_c0_seq1	0.003358889	0.010514924	0.012542649	0.005269998	0.005634596	0.007317759	0.008824466	0.002576696	0.006314092
comp109157_c0_seq1	0.017488904	0.003874819	0.010319833	0.008947296	0.006784861	0.016740039	0.003592827	0.014682197	0.006186602
comp109225_c0_seq1	0.042315269	0.035615378	0.056040312	0.045016031	0.097347229	0.019184791	0.096854142	0.057665413	0.062769822
comp109238_c0_seq1	0.026551741	0.022254657	0.020294322	0.023399398	0.021523933	0.019228162	0.020113403	0.024588901	0.01852014
comp109259_c0_seq1	2.973003479	0.951079106	1.858514137	2.346070892	2.272477049	2.49127276	1.394499304	1.849642778	3.479663326
comp109267_c0_seq1	0.001816765	0.006443047	0.001044879	0.006434364	0.004167378	0.002467215	0.003175679	0.005112953	0.004450989
comp109341_c1_seq1	0.004007208	0.003152407	0.004651656	0.003904874	0.004663844	0.006427609	0.014650623	0.004738814	0.000886146
comp109341_c2_seq1	0.013077381	0.013290858	0.033517706	0.011375878	0.015409346	0.017956877	0.020939145	0.012089141	0.010676659
comp109341_c2_seq2	0.013077381	0.013290858	0.033517706	0.011375878	0.015409346	0.017956877	0.020939145	0.012089141	0.010676659
comp109478_c0_seq1	0.150485783	0.18031919	0.235344649	0.194860209	0.13384861	0.204516192	0.126284993	0.157186651	0.109361102
comp109481_c1_seq1	0.065911085	0.044439964	0.05426901	0.043620329	0.051115602	0.049664365	0.061760051	0.02654645	0.099153869
comp109520_c0_seq1	0.080708851	0.140863717	0.186114412	0.108256272	0.137040536	0.034803448	0.145891334	0.15212369	0.139222
comp109532_c0_seq1	0.372367981	0.669772594	0.667950445	0.435675195	0.370883591	0.481443514	0.540428759	0.538064655	0.416569571
comp109543_c0_seq1	0.330664613	0.181092124	0.536471413	0.365954549	0.2580495	0.445916935	0.397490657	0.389699006	0.266746319
comp109547_c0_seq1	1.29835077	1.226055962	1.70169742	1.369150936	1.181938263	1.287930278	1.230495405	1.540862655	1.118711948
comp109547_c0_seq2	1.29835077	1.226055962	1.70169742	1.369150936	1.181938263	1.287930278	1.230495405	1.540862655	1.118711948
comp109549_c0_seq1	0.130145173	0.155119828	0.262630264	0.171474199	0.099596398	0.185544753	0.202413269	0.222956671	0.163527685
comp109550_c0_seq1	0.522873708	0.585608727	0.894420959	0.610738401	0.404200912	0.660699893	0.584408687	0.752451409	0.53360852
comp109558_c0_seq1	3.802980945	7.428058504	7.791988439	4.430619861	3.347263136	5.730803594	5.019790611	4.612438138	3.602052335
comp109560_c0_seq1	0.361588911	0.703275899	0.580280187	0.406888292	0.301093786	0.524883177	0.265917917	0.479766318	0.434300824
comp109561_c0_seq1	0.597179343	0.919644347	0.871035705	0.568487163	0.12317157	0.671302298	0.686918181	0.715813476	0.582217403
comp109562_c0_seq1	0.302916029	0.317377205	0.444281882	0.273731658	0.206166212	0.360496475	0.252570008	0.305185582	0.422287226
comp109565_c0_seq1	0.585330341	0.722124625	1.1161285	0.658278705	0.473384495	0.726460353	0.776499978	0.778014077	0.66155482
comp109566_c0_seq1	0.275989087	0.353335816	0.566798479	0.374836625	0.266061496	0.378169276	0.420776614	0.468030323	0.317869128
comp109568_c0_seq1	0.001338155	0.002922505	0.012687188	0.007663288	0.000435758	0.009071968	0.009696773	0.009058665	0.000547228
comp109569_c0_seq1	0.094574887	0.239523025	0.250021052	0.190434774	0.080528588	0.158158994	0.224263439	0.254688468	0.170190996
comp109571_c0_seq1	0.490689483	0.826186359	0.848891201	0.534703615	0.397014592	0.68209544	0.505086227	0.646643815	0.573378877
comp109572_c0_seq1	0.048777233	0.050319448	0.058639132	0.068351219	0.047809162	0.063138452	0.065992758	0.067826189	0.050929684
comp109573_c0_seq1	0.455406233	0.710435651	0.9258323	0.607995324	0.360705383	0.62347318	0.658087792	0.650256577	0.497689458
comp109639_c0_seq1	0.001688373	0.000825153	0.001176378	0.001223752	0.000396212	0.001382881	0.000814785	0.00069407	0.000505563
comp109647_c0_seq1	0.0045297	0.007040906	0.006530519	0.004248248	0.0030477	0.006345647	0.005044306	0.004900469	0.003600768
comp109675_c0_seq1	0.124558052	0.110800853	0.155286535	0.120541613	0.102957283	0.120394014	0.124310197	0.119542503	0.106714913
comp109701_c0_seq1	0.007356774	0.007706756	0.005223796	0.007920698	0.000778902	0.005339718	0.000488497	0.000138098	0.014225322
comp109771_c0_seq1	0.028989572	0.014014954	0.07625568	0.066055539	0.039418398	0.006807578	0.01738698	0.061029155	0.033660778
comp109797_c0_seq1	0.016030096	0.000116698	0.000215083	0.009983353	0.000190133	0.000405645	0.000437285	0.007725758	0.002336252
comp109797_c0_seq2	0.016030096	0.000116698	0.000215083	0.009983353	0.000190133	0.000405645	0.000437285	0.007725758	0.002336252
comp109900_c0_seq1	0.121311675	0.084371314	0.222493572	0.150022726	0.248388502	0.079816414	0.190268058	0.204489258	0.203396582
comp109921_c0_seq1	0.000361882	0.000220775	8.3917e-05	0.000773381	0.000619819	0.000205816	0.000335455	0.00060803	4.3894e-05
comp109938_c0_seq1	0.016927232	0.015602356	0.015120617	0.012384215	0.022080283	0.010000951	0.010011231	0.013099781	0.007721515
comp109952_c0_seq1	0.00728277	0.017587699	0.013835944	0.00768336	0.009353521	0.007515596	0.0115397	0.009153068	0.012845837
comp109993_c0_seq1	0.057211594	0.034059338	0.037900578	0.035939286	0.030986639	0.024898091	0.032610892	0.04655323	0.038643557
comp110093_c0_seq1	0.003630523	0.01748167	0.002415331	0.001349793	0.010205477	0.001964765	0.001610549	0.011545372	0.008513862
comp110125_c0_seq1	0.006756922	0.005265354	0.001381255	0.005889943	0.002847095	0.007513725	0.001736209	0.004386427	0.00130049
comp110133_c0_seq1	0.031311125	0.037828654	0.05846809	0.044090717	0.077490726	0.008394198	0.069491001	0.078723841	0.068760017
comp110199_c0_seq1	0.00055942	0.000542034	0.000297946	4.8436e-05	0.000123011	0.000206955	0.000562187	0.000680871	4.8339e-05
comp110247_c0_seq1	9.964e-05	0.000939701	0.003194275	0.031657481	0.00321564	0.002612574	0.004650062	0.000393063	0.002606746
comp110385_c0_seq1	0.024106006	5.1843e-05	0.000243979	0.000158621	0.009012027	1.2503e-05	0.001279335	0.000680335	0.027730767
comp110469_c0_seq1	0.126668286	0.101740883	0.109058065	0.16991218	0.111599209	0.188718218	0.089776906	0.083293463	0.07769842
comp110570_c0_seq1	0.045184232	0.065988732	0.173068101	0.04315525	0.032832755	0.041130155	0.09345188	0.103430743	0.065717744
comp110578_c0_seq1	0.001727164	0.008641659	0.002362216	0.001515333	0.000912242	0.003005067	0.001333372	0.000939446	0.002543259
comp110578_c0_seq2	0.001727164	0.008641659	0.002362216	0.001515333	0.000912242	0.003005067	0.001333372	0.000939446	0.002543259
comp110675_c0_seq1	0.002887477	5.8177e-05	0.005189858	0.003612214	0.00148425	0.003995711	0.005604258	0.005861704	0.002401258
comp110675_c0_seq3	0.002887477	5.8177e-05	0.005189858	0.003612214	0.00148425	0.003995711	0.005604258	0.005861704	0.002401258
comp110675_c0_seq5	0.002887477	5.8177e-05	0.005189858	0.003612214	0.00148425	0.003995711	0.005604258	0.005861704	0.002401258
comp110681_c0_seq1	0.001794848	0.000168428	0.000280104	0.000818065	0.000246139	0.001356933	0.001028194	9.0684e-05	0.001135814
comp110810_c0_seq1	0.019571009	0.007564185	0.026591439	0.027860106	0.022850064	0.026077003	0.025956595	0.028253482	0.019220259
comp110861_c0_seq1	0.000204896	0.000130663	0.003219612	0.001818046	0.000495352	0.001375842	0.000883195	0.00167527	0.000867726
comp110984_c0_seq1	0.345532404	0.583807508	0.844272115	0.404167581	0.390186905	0.264413566	0.852020736	0.593442382	0.434181253
comp110988_c0_seq3	0.000584655263157895	0.030444125	0.001717959	0.000202513	0.003940494	0.000538249826923077	0.017081039	0.000101002	0.000939176
comp110994_c0_seq1	0.000377787	0.003533455	0.014429332	0.017069301	0.002147361	0.000379008	0.001008488	0.014857096	0.014158341
comp111019_c0_seq1	0.008781661	0.004661086	0.00048391	0.000711503	0.001438052	1.208e-05	0.000798061	0.003542912	0.001789323
comp111143_c0_seq1	0.049086154	0.08177829	0.052059593	0.04842028	0.042681888	0.073351838	0.07201468	0.062457438	0.07729317
comp111208_c0_seq1	0.000479188	0.01457408	0.021214422	0.000252843	0.000329921	0.000422663	0.021167035	0.012122973	0.004158055
comp111242_c0_seq1	0.001379276	0.000738651	0.004282691	0.002513747	0.002857824	0.004285077	0.001072542	0.001139434	0.005036832
comp111242_c2_seq1	0.001497297	0.003743983	0.003565315	0.001315075	0.00282635	0.002561566	0.001639033	0.003103551	0.001564008
comp111246_c0_seq1	0.004862356	0.00155971993333333	0.000127515	0.000664396	0.000448554	0.004279349	0.000103687	0.004310462	0.002970332
comp111254_c0_seq1	0.00115956	0.00155971993333333	0.001535538	0.001624741	0.00133477	0.001521595	0.003236484	0.001464099	0.001600786
comp111254_c1_seq1	0.058676527	0.001024736	0.002761928	0.002497131	0.016253664	0.001738575	0.002473323	0.000971124	0.002110455
comp111297_c1_seq1	0.143356175	0.100184223	0.106746929	0.121243847	0.116965783	0.095197439	0.084788597	0.096581806	0.120928222
comp111492_c0_seq1	0.00684542	0.004815669	0.007588574	0.007444885	0.000605799	0.006077311	0.003220821	0.010465283	0.002458342
comp111552_c0_seq1	0.009004894	0.00997324	0.015571804	0.011221634	0.009485335	0.026525428	0.009029127	0.012124227	0.015097021
comp111552_c0_seq2	0.002587078	0.006215636	0.004368672	0.004097343	0.002995939	0.002652333	0.001531168	0.003010488	0.003793496
comp111635_c0_seq1	0.00553021	0.017619492	0.044949002	0.014983314	0.028290266	0.009218256	0.020926039	0.031320156	0.013349597
comp111695_c1_seq1	0.003982847	0.006871706	0.031391611	0.004302567	0.008337979	0.000113801	0.00349483	0.009078769	0.002951411
comp111704_c1_seq1	9.8915e-05	0.003843608	0.004719703	0.000921338	0.000583511	0.000438144	0.001141476	0.001981813	0.000219937
comp111784_c0_seq1	0.055418226	0.040267569	0.050510372	0.062335402	0.066886611	0.04939531	0.077600655	0.06340771	0.068942959
comp111784_c0_seq2	0.013356294	0.010135405	0.020314897	0.018620789	0.02316595	0.014644535	0.020719271	0.025422382	0.027638001
comp111825_c0_seq1	0.009394206	0.026742186	0.034730191	0.013893798	0.022478994	0.016341617	0.021348183	0.024941108	0.014461385
comp111827_c2_seq1	0.037210701	0.013305164	0.019931362	0.033272225	0.014350439	0.025881394	0.027177239	0.026225699	0.022083034
comp111848_c0_seq1	0.028970528	0.027629079	0.032626842	0.028317105	0.024932682	0.026363809	0.028310153	0.026552002	0.036209312
comp111848_c1_seq1	0.023853016	0.028434198	0.023377498	0.03391156	0.035775767	0.033562897	0.04177986	0.034798639	0.032938788
comp111886_c1_seq1	0.047174124	0.09253434	0.074764131	0.052444856	0.044567163	0.055452054	0.063240652	0.068438322	0.067400584
comp112007_c0_seq1	0.002153634	0.00338182	0.004080558	0.002200212	0.002989732	0.001207612	0.003837044	0.003971939	0.003130552
comp112088_c0_seq1	0.005145279	0.001934926	0.005575739	0.004633569	0.003817469	0.001863719	0.003642836	0.001036228	0.003816148
comp112088_c0_seq2	0.005145279	0.001934926	0.005575739	0.004633569	0.003817469	0.001863719	0.003642836	0.001036228	0.003816148
